Recorded date: Apr 18, 2024, 14:14:16
Export date: Apr 25, 2024, 14:29:38
Min (dB-A): 68.4
Max (dB-A): 100.6
Peak (dB-A): 101.1
Avg (dB-A): 81.0
TWA (dB-A): 63.9
Dose (dB-A): 0.8

Leq (dB-A),Response Time (seconds)
76.2,0.2
76.5,0.2
77.0,0.2
80.8,0.2
76.4,0.2
75.5,0.2
75.2,0.2
75.5,0.2
75.4,0.2
75.5,0.2
76.4,0.2
76.8,0.2
78.0,0.2
78.3,0.2
79.2,0.2
81.1,0.2
82.6,0.2
83.4,0.2
82.8,0.2
82.9,0.2
83.4,0.2
84.2,0.2
82.4,0.2
79.5,0.2
76.1,0.2
75.3,0.2
75.5,0.2
75.9,0.2
77.9,0.2
79.1,0.2
80.0,0.2
80.1,0.2
80.2,0.2
78.9,0.2
78.0,0.2
76.9,0.2
76.8,0.2
76.9,0.2
77.3,0.2
79.0,0.2
80.7,0.2
80.6,0.2
78.9,0.2
78.0,0.2
77.6,0.2
77.4,0.2
76.3,0.2
76.1,0.2
76.4,0.2
77.0,0.2
78.5,0.2
78.2,0.2
77.7,0.2
78.2,0.2
78.2,0.2
79.6,0.2
79.4,0.2
79.1,0.2
79.0,0.2
80.0,0.2
80.9,0.2
81.9,0.2
82.7,0.2
83.2,0.2
82.4,0.2
82.7,0.2
82.4,0.2
81.2,0.2
81.0,0.2
82.2,0.2
83.7,0.2
84.2,0.2
83.0,0.2
82.4,0.2
81.1,0.2
79.9,0.2
79.0,0.2
77.4,0.2
76.7,0.2
76.3,0.2
76.1,0.2
75.9,0.2
75.5,0.2
75.1,0.2
73.7,0.2
72.4,0.2
71.7,0.2
72.7,0.2
71.2,0.2
70.2,0.2
69.6,0.2
70.1,0.2
70.0,0.2
71.3,0.2
72.0,0.2
71.1,0.2
71.1,0.2
72.1,0.2
72.6,0.2
72.0,0.2
72.1,0.2
71.6,0.2
73.2,0.2
73.8,0.2
73.4,0.2
73.9,0.2
75.1,0.2
75.4,0.2
76.7,0.2
75.4,0.2
75.9,0.2
75.3,0.2
77.2,0.2
75.6,0.2
77.5,0.2
78.4,0.2
78.7,0.2
78.4,0.2
79.1,0.2
76.6,0.2
76.8,0.2
76.3,0.2
76.1,0.2
76.0,0.2
76.3,0.2
77.3,0.2
77.2,0.2
78.0,0.2
79.1,0.2
77.5,0.2
77.8,0.2
78.6,0.2
79.6,0.2
79.3,0.2
79.4,0.2
81.0,0.2
81.0,0.2
82.0,0.2
82.8,0.2
85.1,0.2
82.7,0.2
81.7,0.2
81.2,0.2
80.8,0.2
81.1,0.2
80.6,0.2
79.8,0.2
80.3,0.2
82.1,0.2
80.6,0.2
78.9,0.2
77.6,0.2
75.2,0.2
75.1,0.2
75.8,0.2
78.3,0.2
79.6,0.2
80.2,0.2
79.3,0.2
78.4,0.2
79.1,0.2
79.3,0.2
82.6,0.2
82.6,0.2
82.0,0.2
83.7,0.2
84.0,0.2
81.5,0.2
79.4,0.2
80.7,0.2
81.5,0.2
83.6,0.2
83.4,0.2
82.4,0.2
81.8,0.2
81.4,0.2
79.0,0.2
76.6,0.2
79.5,0.2
78.3,0.2
76.1,0.2
75.3,0.2
76.1,0.2
72.9,0.2
73.6,0.2
73.9,0.2
74.1,0.2
72.9,0.2
72.9,0.2
73.0,0.2
72.1,0.2
73.0,0.2
73.0,0.2
73.8,0.2
74.3,0.2
75.7,0.2
